college,id,level,week_no,isolation,quarantine,symptomatic,cases
Durham,campus,Off,1,6,6,6,10
Concord,campus,Off,1,13,10,10,17
Durham,campus,On,1,16,7,6,2
Concord,campus,On,1,8,15,6,13
Durham,campus,Off,2,18,18,7,20
Concord,campus,Off,2,13,14,9,10
Durham,campus,On,2,13,3,9,17
Concord,campus,On,2,19,3,4,3
Durham,campus,Off,3,19,19,8,9
Concord,campus,Off,3,12,18,8,17
Durham,campus,On,3,20,1,1,1
Concord,campus,On,3,7,3,4,6
Durham,campus,Off,4,17,4,1,19
Concord,campus,Off,4,9,9,4,14
Durham,campus,On,4,10,19,3,13
Concord,campus,On,4,5,6,7,20
Durham,campus,Off,5,7,8,1,15
Concord,campus,Off,5,14,10,3,8
Durham,campus,On,5,17,6,1,10
Concord,campus,On,5,7,15,5,18
Durham,campus,Off,6,19,11,9,5
Concord,campus,Off,6,15,4,1,5
Durham,campus,On,6,11,1,4,17
Concord,campus,On,6,9,16,4,13
Durham,campus,Off,7,11,14,3,6
Concord,campus,Off,7,10,15,1,7
Durham,campus,On,7,3,10,5,12
Concord,campus,On,7,17,10,6,12
Durham,campus,Off,8,15,13,5,4
Concord,campus,Off,8,1,16,1,14
Durham,campus,On,8,5,12,4,19
Concord,campus,On,8,2,13,7,1
Durham,campus,Off,9,7,2,5,12
Concord,campus,Off,9,2,2,5,17
Durham,campus,On,9,1,19,9,6
Concord,campus,On,9,3,19,4,11
Durham,campus,Off,10,4,5,8,4
Concord,campus,Off,10,9,16,10,11
Durham,campus,On,10,9,6,2,14
Concord,campus,On,10,5,1,4,11
Durham,campus,Off,11,6,15,5,11
Concord,campus,Off,11,14,6,2,13
Durham,campus,On,11,20,20,2,9
Concord,campus,On,11,1,14,6,5
Durham,campus,Off,12,5,1,7,3
Concord,campus,Off,12,20,14,10,20
Durham,campus,On,12,20,17,4,1
Concord,campus,On,12,2,2,4,16
Durham,campus,Off,13,13,11,7,12
Concord,campus,Off,13,6,10,10,4
Durham,campus,On,13,3,2,8,4
Concord,campus,On,13,8,8,9,3
Durham,campus,Off,14,15,3,10,9
Concord,campus,Off,14,11,13,9,13
Durham,campus,On,14,19,9,7,8
Concord,campus,On,14,17,17,5,8
Durham,campus,Off,15,5,14,8,9
Concord,campus,Off,15,11,4,1,1
Durham,campus,On,15,12,6,3,17
Concord,campus,On,15,16,11,3,7
Durham,person,Student,1,6,19,7,2
Concord,person,Student,1,20,11,8,1
Durham,person,Faculty,1,13,11,4,17
Concord,person,Faculty,1,14,2,3,16
Durham,person,Student,2,13,19,5,6
Concord,person,Student,2,13,11,10,14
Durham,person,Faculty,2,13,15,5,13
Concord,person,Faculty,2,3,13,9,17
Durham,person,Student,3,18,17,4,5
Concord,person,Student,3,16,16,2,15
Durham,person,Faculty,3,16,17,1,2
Concord,person,Faculty,3,8,19,10,1
Durham,person,Student,4,1,6,5,11
Concord,person,Student,4,19,18,9,10
Durham,person,Faculty,4,20,10,7,1
Concord,person,Faculty,4,19,12,7,1
Durham,person,Student,5,2,15,8,7
Concord,person,Student,5,8,3,3,19
Durham,person,Faculty,5,4,10,10,4
Concord,person,Faculty,5,18,3,6,20
Durham,person,Student,6,3,12,6,1
Concord,person,Student,6,3,12,2,18
Durham,person,Faculty,6,4,6,1,10
Concord,person,Faculty,6,13,3,3,1
Durham,person,Student,7,15,10,2,17
Concord,person,Student,7,1,3,6,8
Durham,person,Faculty,7,1,3,10,20
Concord,person,Faculty,7,19,11,5,19
Durham,person,Student,8,12,1,2,4
Concord,person,Student,8,3,6,2,3
Durham,person,Faculty,8,17,12,3,11
Concord,person,Faculty,8,1,3,4,1
Durham,person,Student,9,18,2,9,20
Concord,person,Student,9,14,13,2,2
Durham,person,Faculty,9,2,10,7,17
Concord,person,Faculty,9,5,6,3,7
Durham,person,Student,10,20,18,6,20
Concord,person,Student,10,5,11,3,15
Durham,person,Faculty,10,16,9,3,20
Concord,person,Faculty,10,14,9,7,16
Durham,person,Student,11,15,17,9,20
Concord,person,Student,11,13,7,3,8
Durham,person,Faculty,11,2,4,2,14
Concord,person,Faculty,11,11,15,7,2
Durham,person,Student,12,8,1,3,2
Concord,person,Student,12,13,19,7,6
Durham,person,Faculty,12,6,5,8,3
Concord,person,Faculty,12,1,6,3,7
Durham,person,Student,13,3,19,9,7
Concord,person,Student,13,3,20,6,13
Durham,person,Faculty,13,12,3,1,10
Concord,person,Faculty,13,20,15,8,13
Durham,person,Student,14,3,9,4,16
Concord,person,Student,14,9,16,1,7
Durham,person,Faculty,14,3,3,3,7
Concord,person,Faculty,14,7,16,9,19
Durham,person,Student,15,12,17,2,10
Concord,person,Student,15,18,9,3,11
Durham,person,Faculty,15,13,1,1,14
Concord,person,Faculty,15,11,10,6,18
